train_time,train_type,train_number,tagClass,wheel_number,wheel_id,hotbox_temp,mad_median_20,axle_deviation,side_deviation,car_deviation,n_ref_rows,n_neighbors_used,count_mad_last_10,count_axle_last_10,count_side_last_10,count_car_last_10,sum_count_dev,score
10/7/2025 19:51,KSFA,501/502,1502,A4,1502_A4,50,3,1,1,1,192,20,9,10,0,0,10,3.147420621
10/7/2025 19:51,KSFA,501/502,1502,B3,1502_B3,50,4,0,1,1,192,20,10,10,1,10,21,3.318441252
6/8/2025 9:59,KSFA,503/504,1504,B2,1504_B2,46,5,3,1,2,192,20,9,10,0,9,19,3.99105009
23/8/2025 8:00,KSFA,505/506,1506,B3,1506_B3,43,8,2,1,2,192,20,6,10,0,9,19,3.898591263
7/7/2025 6:47,KSFA,507/508,1508,A3,1508_A3,42,3.5,2,1,2,192,20,3,10,0,10,20,3.410039516
7/7/2025 6:47,KSFA,507/508,1508,A4,1508_A4,42,3.5,2,1,2,192,20,7,10,0,10,20,3.410039516
4/7/2025 7:53,KSFA,525/526,1526,B2,1526_B2,44,3,1,1,1,192,20,2,10,0,8,18,3.413134587
1/8/2025 7:35,KSFA,527/528,1527,A4,1527_A4,45,3,0,1,1,192,20,0,10,6,0,16,3.035319262
2/8/2025 6:49,KSFA,529/530,1530,A4,1530_A4,43,4.5,3,1,2,192,20,10,10,0,10,20,3.968172261
29/6/2025 13:52,KSFA,533/534,1533,A2,1533_A2,50,3.5,1,1,1,192,20,4,10,0,10,20,3.217789216
29/6/2025 13:52,KSFA,533/534,1533,B4,1533_B4,50,3.5,1,1,1,192,20,8,10,0,0,10,3.217789216
5/7/2025 7:38,KSFA,533/534,1533,A3,1533_A3,42,5,1,2,2,192,20,6,10,0,7,17,3.297854389
5/7/2025 7:38,KSFA,533/534,1533,A4,1533_A4,42,5,2,2,2,192,20,9,10,0,7,17,3.000673484
4/8/2025 10:39,KSFA,533/534,1533,B3,1533_B3,42,3.5,0,1,1,192,20,1,9,0,7,16,3.069558029
23/8/2025 19:41,KSFA,533/534,1534,B2,1534_B2,48,6.5,0,1,1,192,20,10,10,1,0,11,3.747735609
18/8/2025 7:48,KSFA,541/542,1541,A2,1541_A2,45,4,3,1,2,216,20,10,10,0,10,20,3.448699659
18/8/2025 7:48,KSFA,541/542,1541,A3,1541_A3,46,3.5,3,2,3,216,20,10,10,0,10,20,3.283635846
18/8/2025 7:48,KSFA,541/542,1542,B3,1542_B3,46,5,3,1,2,216,20,10,10,0,10,20,3.052569811
18/8/2025 7:48,KSFA,541/542,1542,B4,1542_B4,46,3.5,2,1,2,216,20,10,10,1,10,21,3.35801447
6/8/2025 9:59,KSFA,503/504,2503,A4,2503_A4,46,5.5,3,1,2,192,20,10,10,0,9,19,3.315149786
24/8/2025 13:19,KSFA,503/504,2503,B3,2503_B3,43,4,2,2,1,192,20,10,9,0,0,9,3.160410608
24/8/2025 13:19,KSFA,503/504,2504,B3,2504_B3,46,3.5,3,1,3,192,20,4,9,0,9,18,3.93594426
24/7/2025 8:25,KSFA,505/506,2506,A1,2506_A1,45,5.5,1,1,1,192,20,1,10,0,3,13,3.990839081
24/7/2025 8:25,KSFA,505/506,2506,A4,2506_A4,45,5,1,1,1,192,20,1,10,0,3,13,3.974838591
30/6/2025 6:47,KSFA,507/508,2507,A4,2507_A4,42,5.5,1,1,1,192,20,3,10,0,10,20,3.301064091
7/7/2025 6:47,KSFA,507/508,2507,B1,2507_B1,43,3,2,1,1,192,20,5,10,0,10,20,3.070277275
7/7/2025 9:42,KSFA,507/508,2508,A4,2508_A4,48,3.5,3,1,1,192,20,7,9,0,9,18,3.049907819
21/7/2025 6:47,KSFA,523/524,2523,A1,2523_A1,42,3,1,2,2,192,20,0,10,3,9,22,3.710282466
21/7/2025 6:47,KSFA,523/524,2523,A2,2523_A2,41,3,1,1,1,192,20,0,10,0,9,19,3.908074679
21/7/2025 6:47,KSFA,523/524,2523,B1,2523_B1,41,3,1,1,1,192,20,1,10,3,1,14,3.908074679
21/7/2025 6:47,KSFA,523/524,2524,A1,2524_A1,41,3.5,1,1,1,192,20,0,10,0,1,11,3.561501757
21/7/2025 6:47,KSFA,523/524,2524,B2,2524_B2,41,3,1,1,1,192,20,0,10,0,9,19,3.525903772
18/8/2025 9:42,KSFA,525/526,2526,B1,2526_B1,49,3,4,2,2,216,20,1,9,0,7,16,3.908749311
1/8/2025 10:32,KSFA,527/528,2528,A2,2528_A2,49,3,1,1,1,192,20,0,9,0,9,18,3.087615338
23/8/2025 19:41,KSFA,533/534,2533,A3,2533_A3,49,7,1,1,1,192,20,10,10,0,0,10,3.379856404
23/8/2025 19:41,KSFA,533/534,2533,A4,2533_A4,49,7,2,1,1,192,20,9,10,0,0,10,3.194417483
23/8/2025 19:41,KSFA,533/534,2533,B1,2533_B1,49,3.5,1,1,1,192,20,10,10,0,10,20,3.641939756
23/8/2025 19:41,KSFA,533/534,2533,B3,2533_B3,50,4.5,1,2,2,192,20,9,10,0,10,20,3.858106045
29/6/2025 13:52,KSFA,533/534,2534,A1,2534_A1,51,3,1,1,1,192,20,2,10,0,0,10,3.921819845
5/7/2025 7:38,KSFA,533/534,2534,B1,2534_B1,44,4,3,1,3,192,20,8,10,0,7,17,3.617859478
23/8/2025 22:28,KSFA,533/534,2534,A2,2534_A2,48,3.5,3,1,2,192,20,10,9,0,9,18,3.361445615
23/8/2025 22:28,KSFA,533/534,2534,A4,2534_A4,48,3,3,1,2,192,20,9,9,0,9,18,3.67315103
20/7/2025 8:28,KSFA,547/548,2548,A3,2548_A3,46,4,1,1,2,192,20,2,10,0,3,13,3.800298508
20/7/2025 8:28,KSFA,547/548,2548,B3,2548_B3,45,4,1,1,1,192,20,1,10,0,7,17,3.988305593
25/8/2025 10:50,KSFA,569/570,2569,A2,2569_A2,47,7.5,1,1,1,192,20,10,9,0,2,11,3.347725037
25/8/2025 10:50,KSFA,569/570,2569,B1,2569_B1,48,5,2,1,2,192,20,10,9,0,7,16,3.045123223
25/8/2025 10:50,KSFA,569/570,2569,B2,2569_B2,48,5,1,1,2,192,20,10,9,0,7,16,3.179620198
25/8/2025 10:50,KSFA,569/570,2570,A1,2570_A1,48,5,2,1,1,192,20,10,9,0,7,16,3.838879197
24/7/2025 8:25,KSFA,505/506,3505,A3,3505_A3,44,3.5,0,1,1,192,20,1,10,0,7,17,3.62913577
23/8/2025 8:00,KSFA,505/506,3506,A3,3506_A3,41,6.5,0,4,1,192,20,4,10,8,1,19,3.825440999
23/8/2025 8:00,KSFA,505/506,3506,B3,3506_B3,41,8,0,1,1,192,20,6,10,0,9,19,3.407337533
19/8/2025 6:32,KSFA,521/522,3522,B2,3522_B2,41,6.5,5,2,5,240,20,7,10,0,2,12,3.396961576
19/8/2025 6:32,KSFA,521/522,3522,B4,3522_B4,40,6.5,5,1,4,240,20,3,10,0,2,12,3.614632655
21/7/2025 6:47,KSFA,523/524,3523,B2,3523_B2,42,3,2,3,2,192,20,0,10,0,1,11,3.088737819
21/7/2025 6:47,KSFA,523/524,3524,B4,3524_B4,40,3,1,1,1,192,20,0,10,3,9,22,3.134829038
29/6/2025 13:52,KSFA,533/534,3533,A2,3533_A2,49,4,1,2,1,192,20,6,10,0,10,20,3.226499374
5/7/2025 7:38,KSFA,533/534,3533,A2,3533_A2,42,4.5,3,2,2,192,20,5,10,1,7,18,3.471037832
5/7/2025 7:38,KSFA,533/534,3533,A4,3533_A4,41,4,2,1,1,192,20,7,10,0,7,17,3.940106354
4/8/2025 7:35,KSFA,533/534,3533,A4,3533_A4,44,3.5,2,3,3,192,20,0,10,0,3,13,3.26990168
23/8/2025 19:41,KSFA,533/534,3533,A3,3533_A3,46,7,2,3,1,192,20,10,10,4,0,14,3.279451961
23/8/2025 19:41,KSFA,533/534,3533,A4,3533_A4,46,6,1,3,1,192,20,10,10,5,0,15,3.4874128
23/8/2025 19:41,KSFA,533/534,3533,B2,3533_B2,47,4,4,2,2,192,20,8,10,0,10,20,3.428067483
4/8/2025 7:35,KSFA,533/534,3534,A4,3534_A4,43,3,1,2,1,192,20,0,10,0,7,17,3.063010677
23/8/2025 22:28,KSFA,533/534,3534,A4,3534_A4,47,3,2,3,3,192,20,10,9,0,9,18,3.040915865
26/8/2025 8:25,KSFA,547/548,3548,A3,3548_A3,45,4,4,2,3,192,20,10,10,2,7,19,3.756133585
28/7/2025 7:53,KSFA,559/560,3559,A3,3559_A3,45,3,3,2,3,192,20,0,10,0,2,12,3.250573367
25/8/2025 7:53,KSFA,569/570,3569,B2,3569_B2,43,5,3,1,1,192,20,10,10,0,8,18,3.87402976
25/8/2025 10:50,KSFA,569/570,3570,A3,3570_A3,46,5,3,3,3,192,20,4,9,1,7,17,3.017098765
